Funder;Info;Contact;Tags
Access Now;"""By combining innovative policy, user engagement, and direct technical support, we fight for open and secure communications for all.""";https://www.accessnow.org;
Alfred Toepfer Stiftung F.V.S.;"""Alfred Toepfer Stiftung is a non-profit foundation dedicated to supporting culture, research, educational projects, and nature conservation across Europe.""";http://toepfer-stiftung.de/en/;germany
Alfried Krupp von Bohlen und Halbach-Stiftung;"""Die Alfried Krupp von Bohlen und Halbach-Stiftung fördert vornehmlich in selbstinitiierten Schwerpunkten und Programmen. Nur in besonderen Ausnahmefällen nimmt die Stiftung Anträge außerhalb eigener Schwerpunkte und Programme entgegen.""";http://www.krupp-stiftung.de/index.php;germany
Amadeu Antonio Stiftung;"""The Amadeu Antonio Stiftung is one of Germany's foremost, independent non-governmental organizations working to strengthen democratic civic society and eliminate neo-Nazism, right-wing extremism, and anti-Semitism and other forms of bigotry and hate in Germany.""";https://www.amadeu-antonio-stiftung.de/eng/about-us/;germany
American Jewish World Service;"""We strive to end poverty and promote human rights in the developing world.""";https://ajws.org;
Anita Borg Institute;"""Pass-it-on Award applications are open to any woman over 18 years old in or aspiring to be in the fields of computing. Awards are open to women in all countries and range from $500.00 to $1000.00 USD. Applications covering a wide variety of needs and projects are encouraged.""";http://anitaborg.org/awards-grants/pass-it-on-awards-program/;
Arab Human Rights Fund;"""open call for grant applications to support all human rights issues in the Arab region""";http://ahrfund.org/csoon/index.html;
Arca Foundation;"""The Arca Foundation is a private grantmaking foundation dedicated to advancing equity, justice and human rights. Arca believes that the pursuit of economic and racial justice, an inclusive democracy,human rights, and a clean environment requires an engaged citizenry that has access to information and free expression.""";http://www.arcafoundation.org/;
Asian Forum for Human Rights and Development;"""FORUM-ASIA’s HRD Programme is a protection measure for human rights defenders (HRDs) and women human rights defenders (WHRD) in Asia. It seeks to facilitate a conducive environment for HRDs/WHRDs towards a more effective and efficient conduct of their work while being conscious of the risks involving their actions.""";http://www.forum-asia.org/;
Astraea Lesbian Foundation for Justice;"""Astraea Lesbian Foundation for Justice is the only philanthropic organization working exclusively to advance LGBTQI human rights around the globe. We support brilliant and brave grantee partners in the U.S. and internationally who challenge oppression and seed change. We work for racial, economic, social, and gender justice, because we all deserve to live our lives freely, without fear, and with dignity.""";http://www.astraeafoundation.org/;
Bassel Khartabil Free Culture Fellowship;"""support outstanding individuals developing the culture of their communities under adverse circumstances""";https://blog.mozilla.org/blog/2017/08/11/honoring-friend-bassel-announcing-bassel-khartabil-free-culture-fellowship/;
Bloomberg Philanthropies;"""Mike Bloomberg’s entrepreneurial spirit, public policy experience, and belief in the power of cities to take action helps define Bloomberg Philanthropies’ distinct approach to driving change.""";http://www.bloomberg.org/;
BMW Stiftung;"""The BMW Foundation brings together leaders from across communities, cultures and countries to drive Social Innovation, promote Global Dialogue, and encourage Responsible Leadership. We are convinced that our approach breaks down barriers between politics, business and civil society and allows society to benefit from the creativity and diversity that result from cross-sector collaboration.“ See esp. Their „Social Entrepreneurship“-Program.";http://www.bmw-stiftung.de/en/what-we-do/social-entrepreneurship/;germany
Bosch Stiftung;"""The Foundation is divided into areas to support and operate its aid program. In order to pursue the Foundation's objectives, it promotes external projects and initiates its own projects for developing and running programs.

Some 140 employees manage an average of about 800 internal and external projects a year. In total the Robert Bosch Stiftung has provided grants worth more than €1 billion since its founding.""";http://www.bosch-stiftung.de/content/language2/html/index.asp;germany
Breuninger Stiftung GmbH;"""Wir investieren in die Fähigkeit von Menschen zu lernen, zu kooperieren und zu führen. Wir initiieren und verknüpfen Netzwerke und bauen Plattformen mit Menschen, die Ideen und Visionen für das 21. Jahrhundert haben. Wir wollen mit unserer Arbeit dazu beitragen, dass es ein friedliches und gerechtes Jahrhundert wird.""";http://www.breuninger-stiftung.de/;germany
Carl Friedrich von Siemens Stiftung;"""Die Carl Friedrich von Siemens Stiftung ist eine unabhängige Einrichtung zur Förderung der Wissenschaften, die seit 1960 ein umfangreiches Wissenschaftliches Programm in ihrem Haus in Nymphenburg durchführt (ca. 9.000 Besucher pro Jahr), Fellowships an herausragende Wissenschaftler vergibt und in den letzten Jahren Universitätsbibliotheken in Deutschland mit mehr als 40 Millionen Euro für die Beschaffung dringend benötigter wissenschaftlicher Literatur unterstützt hat.""";http://www.carl-friedrich-von-siemens-stiftung.de/;germany
Charles Léopold Mayer Foundation;"""The Charles Léopold Mayer Foundation for the Progress of Humankind (fph) is a foundation under Swiss law. Our aim is to contribute to the emergence of a global community. Our work focuses on governance, ethics and sustainable living modes.""";http://www.fph.ch/?lang=en;switzerland
Cisco Foundation;"""Cisco and the Cisco Foundation provide cash, products, and people to support organizations with scalable, replicable, and sustainable solutions that use Internet and network technology to benefit individuals and communities around the world. Cisco social investments reduce hunger, increase access to education and technology, empower people living in poverty to get jobs and start their own businesses, and restore critical services for disaster victims.""";http://csr.cisco.com/pages/support-for-nonprofits;
Claussen-Simon-Stiftung;"""The Claussen-Simon Foundation promotes the advancement of scientifically, technically and artistically talented young persons.""";https://www.claussen-simon-stiftung.de/en/home.html;germany
Code for America Fellowships;"""The Code for America fellowship is a full-time paid year of service for experienced technologists. Cross-functional teams of three are embedded in local governments to develop digital tools that help cities and counties deliver key public services across health, economic development, and safety and justice.""";https://www.codeforamerica.org/do-something/work-with-us;
Core Infrastructure Initiative;"""The Core Infrastructure Initiative (CII) and its members have come together to invest in core infrastructure, providing funding for fundamental projects like OpenSSL, OpenSSH, NTPd and others.""";https://www.coreinfrastructure.org/grants;
CS Fund / Warsh-Mott Legacy;"""The CS Fund and Warsh-Mott Legacy are private family foundations dedicated to supporting progressive social change in the areas of Rights and Governance, Emerging Technologies, and Food Sovereignty. Applicant organizations must be classified as a 501(c)(3) by the US Internal Revenue Service. Foreign applicants should note that CSF and WML make a very limited number of direct grants abroad.""";http://csfund.org/;
Cusanuswerk;"""The Cusanuswerk is the scholarship body of the Catholic Church in Germany and awards government scholarships to exceptionally gifted Catholic students in all branches of academic study.""";https://www.cusanuswerk.de;germany
CyberGhost Privacy Accelerator Program;"""We will invest, mentor and support teams or companies in the early stage (seed). We are more than just an accelerator: we believe that we can improve the world by protecting people's privacy online and we provide global opportunities for business ideas with the same approach.""";http://www.cyberghostvpn.com/en/accelerator;
Datev Stiftung Zukunft;"""Die DATEV-Stiftung Zukunft ist eine gemeinnützige Stiftung zur Förderung und Fortentwicklung von Maßnahmen in den Bereichen IT und Datenschutz, Finanz-, Steuer- und Rechtswesen sowie Genossenschaftswesen.""";https://www.datev-stiftung.de;germany
Democracy Council;"""The Democracy Council advocates freedom, human rights, equal opportunity, and public participation across the globe. The Council's work is based on the Universal Declaration of Human Rights and the belief that a vibrant civil society and accountable public administration remain fundamental tenets of democratic societies.""";https://www.democracycouncil.org/about-us.html;
Deutsche Telekom Stiftung;"""Mit ihrem Stiftungskapital von 150 Millionen Euro gehört die Deutsche Telekom Stiftung zu den großen Unternehmensstiftungen in Deutschland. Ihre Aktivitäten zur Verbesserung der Bildung in Mathematik, Informatik, Naturwissenschaften und Technik (MINT) und zum digitalen Lernen hat sie in fünf Handlungsfeldern zusammengefasst.""";https://www.telekom-stiftung.de/de/wer-wir-sind;germany
Digital Defenders Partnership;"""Digital Defenders Partnership (DDP) was established to provide rapid response to threats to internet freedom.""";https://www.digitaldefenders.org/;
Elisabeth-Käsemann-Stiftung;"""Die Elisabeth-Käsemann-Stiftung unterstützt Erinnerungsprojekte zur Bewahrung des Andenkens an die Opfer von autoritären Regimen in Lateinamerika und Europa.""";http://www.elisabeth-kaesemann-stiftung.com/;germany
ESA Summer of Code in Space;"""ESA Summer of Code in Space (SOCIS) is a program run by the European Space Agency. It aims at offering student developers stipends to write code for various space-related open source software projects.""";http://sophia.estec.esa.int/socis/;software,open-source
European Commission Digital Single Market;"""The European Commission supports the delivery of the Digital Single Market through a number of funding programmes, which regularly publish competitive Calls for Proposals for projects.""";https://ec.europa.eu/digital-single-market/en/funding;eu
Evangelisches Studienwerk Villigst;"""Das Evangelische Studienwerk ist das Begabtenförderungswerk der evangelischen Kirchen in Deutschland. Derzeit fördern wir fast 1.200 Studierende und rund 200 Promovierende aller Fachrichtungen an Universitäten und Fachhochschulen.""";http://www.evstudienwerk.de/;germany
Evonik Stiftung;"""Grundlage der Arbeit der Evonik Stiftung ist es, eine sich stetig verändernde Gesellschaft in ihrer Entwicklung zu unterstützen und Menschen in eine vielversprechende Zukunft zu begleiten. Der Mensch steht bei uns stets im Mittelpunkt. Wer neue Antworten will, muss neue Fragen stellen.""";https://www.evonik-stiftung.de/;germany
Ford Foundation;"""We believe in the inherent dignity of all people. But around the world, too many people are excluded from the political, economic, and social institutions that shape their lives.

Across eight decades, our mission has sought to reduce poverty and injustice, strengthen democratic values, promote international cooperation, and advance human achievement.""";https://www.fordfoundation.org/about-us/;
Free Press Unlimited;"""Free Press Unlimited believes that objective information can be of life-and-death importance. Free Press Unlimited helps local journalists in war zones and conflict areas to provide their audience with trustworthy news and information. The information that people need to survive and give shape to their own future.""";https://www.freepressunlimited.org/en;
Freedom House;"""Freedom House is an independent watchdog organization dedicated to the expansion of freedom and democracy around the world.""";https://freedomhouse.org;
Friedrich Ebert Stiftung;"""Als parteinahe Stiftung orientieren wir unsere Arbeit an den Grundwerten der Sozialen Demokratie: Freiheit, Gerechtigkeit und Solidarität. Als gemeinnützige Institution agieren wir unabhängig und möchten den pluralistischen gesellschaftlichen Dialog zu den politischen Herausforderungen der Gegenwart befördern.""";https://www.fes.de/de/stiftung/ueber-die-fes/;germany
Friedrich-Naumann-Stiftung für die Freiheit;"""It aims to promote the goal of making the principle of freedom valid for the dignity of all people and in all areas of society, both in Germany and abroad. """;http://fnst.org/;germany
Gemeinnützige Hertie-Stiftung;"""Im Mittelpunkt unserer Arbeit steht der Mensch. Wir finden Lösungen, die ihm nützen und zu konkreten Verbesserungen von Lebensbedingungen führen. Unsere Förderbereiche [...]: Neurowissenschaften, Erziehung zur Demokratie und Europäische Integration.""";http://www.ghst.de/;germany
General Assembly Opportunity Fund;"""Opportunity Fund is a philanthropic fellowship program that provides hands-on education, mentorship, and career opportunities to underrepresented groups across the globe. Our vision at General Assembly is to build a global community of individuals empowered to pursue work they love.""";https://generalassemb.ly/opportunity-fund;lybia
Google Summer of Code;"""Google Summer of Code is a program that offers student developers stipends to write code for various open source projects. Historically, the program has brought together over 7,500 students with over 440 open source projects, to create over 50 millions of lines of code.""";https://developers.google.com/open-source/gsoc/;worldwide,software,open-source
Gottlieb Daimler- und Karl Benz-Stiftung;"""The Daimler and Benz Foundation provides the scientific community with the encouragement it needs to develop tomorrow's ideas, today. Crossing borders as well as disciplines, the Foundation promotes scientific findings that help individuals and that improve their living conditions.""";https://www.daimler-benz-stiftung.de/cms/en/;germany
Guerilla Foundation;"""We support activists and social entrepreneurs that together can bring about systems change. [...] We support activists who: (A) Combat political apathy by promoting citizen engagement and new forms of democracy; (B) Establish accountability and transparency in the public and private sectors; (C) Tackle global injustice and curb corporate power; (D) Promote progressive policies that create value for society. Alongside these advocacy efforts, we give grants to social entrepreneurs who set up innovative solutions to build a better society. We also provide non-financial support through our network and advice and contribute to the social entrepreneurship ecosystem in the locations where we are active.""";http://guerrillafoundation.org/what-we-fund/;
Hanns Seidel Stiftung;"""'In the service of democracy, peace and development' – this is the motto that describes the work and mission of the Hanns Seidel Foundation. This maxim applies not only to its commitment in Germany - especially in Bavaria - but also abroad.""";http://www.hss.de/english.html;germany
Hans Böckler Stiftung;"""The Hans Böckler Foundation deals with co-determination, research linked to the world of work and the support of students on behalf of the DGB, the Confederation of German Trade Unions.""";http://www.boeckler.de/index.htm;germany
Heinrich Böll Stiftung;"""Fostering democracy and upholding human rights, taking action to prevent the destruction of the global ecosystem, advancing equality between women and men, securing peace through conflict prevention in crisis zones, and defending the freedom of individuals against excessive state and economic power.""";https://www.boell.de/en/foundation/foundation;germany
Heinz und Heide Dürr Stiftung;"""Die Heinz und Heide Dürr Stiftung fördert die Wissenschaft und Forschung, Bildung und Soziales sowie Kunst und Kultur mit dem Schwerpunkt auf das deutschsprachige Theater.""";http://www.heinzundheideduerrstiftung.de/;germany
Henry M. Jackson Foundation;"""The Henry M Jackson Foundation was founded in 1983 to continue the unfinished work of the late Senator Henry M. ""Scoop"" Jackson in the areas in which he played a key leadership role: international affairs education, human rights, environment and natural resources management, and public service. Through its grantmaking and strategic initiatives, the Foundation seeks to make a lasting impact and perpetuate the Jackson legacy for the benefit of future generations.""";http://www.hmjackson.org/;
